id,team_id,slot,discord_username,discord_id,riot_id,pr,tracker
172,1781126329743,4,donididit,389040729642762251,Mortall#999,3,https://tracker.gg/valorant/profile/riot/Mortall%23999/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
173,1781126329743,5,.kidxander,856635609866305607,KidXander#6136,4,https://tracker.gg/valorant/profile/riot/KidXander%236136/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
175,1781153925322,1,tomhitom123,963323298928795688,tomhitom123#3724,0,https://tracker.gg/valorant/profile/riot/tomhitom123%233724/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
176,1781153925322,2,vix134,703296046414954576,Solvin#6087,5,https://tracker.gg/valorant/profile/riot/Solvin%236087/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
177,1781153925322,3,ddreaz,316388335838822400,pochacco#osama,4,https://tracker.gg/valorant/profile/riot/pochacco%23osama/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
178,1781153925322,4,madhattter7087,742417212618571878,акулæ#shark,2,https://tracker.gg/valorant/profile/riot/%D0%B0%D0%BA%D1%83%D0%BB%C3%A6%23shark/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
179,1781153925322,5,andrew_bui,948009325186678815,Arcticlights#night,3,https://tracker.gg/valorant/profile/riot/Arcticlights%23night/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
180,1781320878102,1,dannyyf,477660103332593680,sendo#expct,5,https://tracker.gg/valorant/profile/riot/sendo%23expct/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
181,1781320878102,2,sneakval,374008455679180800,Sneak#SF1,5,https://tracker.gg/valorant/profile/riot/Sneak%23SF1/performance?platform=pc&playlist=competitive
182,1781320878102,3,parafour,254721314647048193,kyoka#kale,6,https://tracker.gg/valorant/profile/riot/kyoka%23kale/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
183,1781320878102,4,benispooks123,1232628898077085709,Burrito#2334,0,https://tracker.gg/valorant/profile/riot/Burrito%232334/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
184,1781320878102,5,key._.d,1063607268165304350,Twitch KeydVAL#Cutie,0,https://tracker.gg/valorant/profile/riot/Twitch%20KeydVAL%23Cutie/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
185,1781326326008,1,cyteri,992233222186479662,Cyteri#P1QNK,4,https://tracker.gg/valorant/profile/riot/Cyteri%23P1QNK/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d
186,1781326326008,2,customdaniel,837198960803184660,Customs#zerra,4,https://tracker.gg/valorant/profile/riot/Customs%23zerra/performance?platform=pc&playlist=competitive
187,1781326326008,3,kallutak.,1330358720651198509,Atanarjuat#Fast,3,https://tracker.gg/valorant/profile/riot/Atanarjuat%23Fast/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
188,1781326326008,4,OPPGURSHAN,839213303280566293,OPPGURSHAN#042,0,https://tracker.gg/valorant/profile/riot/OPPGURSHAN%23042/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
189,1781326326008,5,justintrnn,676644725503164426,Hv0ung#123,5,https://tracker.gg/valorant/profile/riot/Hv0ung%23123/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
196,1781370251604,1,mayflower1324,992860222567747745,Mayflower#1324,2,https://tracker.gg/valorant/profile/riot/Mayflower%231324/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d
197,1781370251604,2,pace1404,772228590535966742,Yor#2520,5,https://tracker.gg/valorant/profile/riot/Yor%232520/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
198,1781370251604,3,damonky6197,596035727234564142,DRGN#GOAT,4,https://tracker.gg/valorant/profile/riot/DRGN%23GOAT/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
199,1781370251604,4,pokemon0622,1008862296132567210,Zekrom#FAD3,3,https://tracker.gg/valorant/profile/riot/Zekrom%23FAD3/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
200,1781370251604,5,spookybaconboy_33597,1362959484036579328,SpookyBaconBoy#chud,2,https://tracker.gg/valorant/profile/riot/SpookyBaconBoy%23chud/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
201,1781478865498,1,lkwamazing9,703402094966865941,lkwamazing9#tft,3,https://tracker.gg/valorant/profile/riot/beyond%23best/overview?platform=pc&playlist=competitive https://tracker.gg/valorant/profile/riot/Lkwamazing9%23TFT/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22 https://tracker.gg/valorant/profile/riot/krubster%23efn/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22 https://tracker.gg/valorant/profile/riot/Venom%23Asuna/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22 https://tracker.gg/valorant/profile/riot/ichbinabba%23UWU/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
202,1781478865498,2,krubster7777,1136468644629590056,krubster#efn,2,https://tracker.gg/valorant/profile/riot/krubster%23efn/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
203,1781478865498,3,.beyond_,1253856224860966983,beyond#best,2,https://tracker.gg/valorant/profile/riot/beyond%23best/overview?platform=pc&playlist=competitive
204,1781478865498,4,firevenom,208316214030630913,venom#asuna,6,https://tracker.gg/valorant/profile/riot/Venom%23Asuna/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
205,1781478865498,5,ichbinabba,1174141250635579403,ichbinabba#uwu,3,https://tracker.gg/valorant/profile/riot/ichbinabba%23UWU/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
206,1781496287611,1,skele_bro1223,784607244141723670,SKELEBRO#SKELE,0,https://tracker.gg/valorant/profile/riot/SKELEBRO%23SKELE/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
207,1781496287611,2,icyhotloser,341046353977147392,Sxlty#eevee,4,https://tracker.gg/valorant/profile/riot/Sxlty%23eevee/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
208,1781496287611,3,electrictornado,944691146267963393,ElectricTornado#069,4,https://tracker.gg/valorant/profile/riot/ElectricTornado%23069/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
209,1781496287611,4,imhiru9702,910289759966990337,Hiru#おばけ,4,https://tracker.gg/valorant/profile/riot/Hiru%23おばけ/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
210,1781496287611,5,chisooo,786425929291399198,chiso#uwu,4,https://tracker.gg/valorant/profile/riot/chiso%23uwu/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
211,1781888514440,1,trombonemannoah,507675411887685652,TromboneManNoah#dss,4,https://tracker.gg/valorant/profile/riot/TromboneManNoah%23dss/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
212,1781888514440,2,_toastlord,145577767910506496,FrenchToast#dss,4,https://tracker.gg/valorant/profile/riot/FrenchToast%23dss/performance?platform=pc&playlist=competitive
